CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwNoer
11048,MR.,JEREMY,POWELL,11/22/1950,M,Male,jeremy26@phoenixanalytic.co.ke,30000,3,High School,Skilled Manual,Yes
11049,MS.,CAROL,RAI,7/18/1980,S,Female,carol8@phoenixanalytic.co.ke,40000,0,Partial High School,Clerical,Yes
11050,MR.,ALAN,ZHENG,09/07/1951,M,Male,alan23@phoenixanalytic.co.ke,30000,3,High School,Skilled Manual,Yes
11051,MR.,DANIEL,JOHNSON,08/04/1951,S,Male,daniel18@phoenixanalytic.co.ke,30000,3,High School,Skilled Manual,No
11052,MRS.,HEIDI,LOPEZ,08/07/1951,S,Female,heidi19@phoenixanalytic.co.ke,40000,2,Partial College,Clerical,No
11053,MS.,ANA,PRICE,8/20/1980,M,Female,ana0@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,No
11054,MRS.,DEANNA,MUNOZ,03/10/1952,M,Female,deanna33@phoenixanalytic.co.ke,40000,2,Partial College,Skilled Manual,Yes
11055,MR.,GILBERT,RAJE,03/05/1952,M,Male,gilbert35@phoenixanalytic.co.ke,40000,2,Partial College,Skilled Manual,Yes
11056,MRS.,MICHELE,NATH,04/03/1953,M,Female,michele19@phoenixanalytic.co.ke,40000,3,Partial College,Skilled Manual,Yes
11057,MR.,CARL,ANDERSEN,10/12/1953,M,Male,carl12@phoenixanalytic.co.ke,70000,2,Graduate Degree,Management,Yes
11058,MR.,MARC,DIAZ,4/27/1954,M,Male,marc6@phoenixanalytic.co.ke,80000,2,Partial College,Skilled Manual,Yes
11059,MRS.,ASHLEE,ANDERSEN,04/01/1954,S,Female,ashlee19@phoenixanalytic.co.ke,80000,2,Partial College,Skilled Manual,Yes
11060,MR.,JON,ZHOU,3/17/1954,M,Male,jon28@phoenixanalytic.co.ke,80000,2,Partial College,Skilled Manual,Yes
11061,MR.,TODD,GAO,2/27/1954,M,Male,todd14@phoenixanalytic.co.ke,80000,2,Partial College,Skilled Manual,Yes
11062,MR.,NOAH,POWELL,09/02/1975,M,Male,noah5@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11063,MS.,ANGELA,MURPHY,04/07/1975,S,Female,angela41@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11064,MR.,CHASE,REED,12/07/1975,M,Male,chase21@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11065,MS.,JESSICA,HENDERSON,10/09/1973,M,Female,jessica29@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,No
11066,MS.,GRACE,BUTLER,11/27/1973,M,Female,grace62@phoenixanalytic.co.ke,70000,0,Partial College,Professional,Yes
11067,MR.,CALEB,CARTER,9/25/1976,S,Male,caleb40@phoenixanalytic.co.ke,60000,0,Partial College,Professional,Yes
11068,MRS.,TIFFANY,LIANG,9/23/1955,S,Female,tiffany17@phoenixanalytic.co.ke,80000,2,High School,Skilled Manual,Yes
11069,MRS.,CAROLYN,NAVARRO,9/21/1955,S,Female,carolyn30@phoenixanalytic.co.ke,80000,2,High School,Skilled Manual,No
11070,MR.,WILLIE,RAJI,04/05/1955,M,Male,willie40@phoenixanalytic.co.ke,80000,2,High School,Skilled Manual,Yes
11071,MRS.,LINDA,SERRANO,6/26/1955,S,Female,linda31@phoenixanalytic.co.ke,80000,2,High School,Skilled Manual,Yes
11072,MRS.,CASEY,LUO,02/06/1955,S,Female,casey6@phoenixanalytic.co.ke,80000,2,High School,Skilled Manual,No
11073,MRS.,AMY,YE,8/14/1956,S,Female,amy16@phoenixanalytic.co.ke,70000,2,High School,Skilled Manual,Yes
11074,MR.,LEVI,ARUN,8/28/1956,S,Male,levi6@phoenixanalytic.co.ke,70000,2,High School,Skilled Manual,Yes
11075,MRS.,FELICIA,JIMENEZ,11/16/1957,S,Female,felicia4@phoenixanalytic.co.ke,80000,2,High School,Professional,Yes
11076,MR.,BLAKE,ANDERSON,7/13/1957,S,Male,blake9@phoenixanalytic.co.ke,80000,2,High School,Professional,Yes
11077,MRS.,LEAH,YE,9/19/1957,S,Female,leah7@phoenixanalytic.co.ke,80000,2,High School,Professional,No
11078,MS.,GINA,MARTIN,01/10/1974,S,Female,gina1@phoenixanalytic.co.ke,40000,0,High School,Professional,No
11079,MR.,DONALD,GONZALEZ,03/11/1959,S,Male,donald20@phoenixanalytic.co.ke,160000,0,Graduate Degree,Management,Yes
11080,MR.,DAMIEN,CHANDER,7/17/1959,M,Male,damien32@phoenixanalytic.co.ke,170000,0,Graduate Degree,Management,Yes
11081,MRS.,SAVANNAH,BAKER,7/24/1966,M,Female,savannah39@phoenixanalytic.co.ke,120000,2,Bachelors,Management,Yes
11082,,ANGELA,BUTLER,08/04/1966,S,NA,angela17@phoenixanalytic.co.ke,130000,0,Graduate Degree,Management,No
11083,MS.,ALYSSA,COX,3/15/1966,M,Female,alyssa37@phoenixanalytic.co.ke,130000,0,Graduate Degree,Management,Yes
11084,MR.,LUCAS,PHILLIPS,09/12/1957,S,Male,lucas7@phoenixanalytic.co.ke,80000,2,Partial High School,Skilled Manual,No
11085,MRS.,EMILY,JOHNSON,7/19/1957,S,Female,emily1@phoenixanalytic.co.ke,60000,2,High School,Professional,No
11086,MR.,RYAN,BROWN,12/23/1957,M,Male,ryan43@phoenixanalytic.co.ke,70000,2,Partial College,Professional,Yes
11087,MRS.,TAMARA,LIANG,10/03/1957,M,Female,tamara6@phoenixanalytic.co.ke,70000,3,Partial College,Professional,No
11089,MRS.,ABIGAIL,PRICE,02/05/1957,S,Female,abigail25@phoenixanalytic.co.ke,80000,2,Bachelors,Management,Yes
11090,MR.,TREVOR,BRYANT,12/17/1957,S,Male,trevor18@phoenixanalytic.co.ke,90000,2,Partial College,Professional,Yes
11091,MR.,DALTON,PEREZ,04/04/1957,M,Male,dalton37@phoenixanalytic.co.ke,90000,2,Partial College,Professional,Yes
11092,MRS.,CHERYL,DIAZ,05/06/1967,M,Female,cheryl4@phoenixanalytic.co.ke,90000,2,Bachelors,Professional,Yes
11093,MS.,AIMEE,HE,09/10/1967,M,Female,aimee13@phoenixanalytic.co.ke,100000,0,Graduate Degree,Management,Yes
11094,MR.,CEDRIC,MA,04/01/1962,S,Male,cedric15@phoenixanalytic.co.ke,70000,1,Partial College,Skilled Manual,No
11095,MR.,CHAD,KUMAR,09/01/1962,S,Male,chad9@phoenixanalytic.co.ke,70000,1,Partial College,Skilled Manual,Yes
11096,MR.,ANDRÉS,ANAND,08/10/1962,M,Male,andrés18@phoenixanalytic.co.ke,60000,1,Bachelors,Professional,Yes
11097,MR.,EDWIN,NARA,10/27/1961,M,Male,edwin39@phoenixanalytic.co.ke,60000,1,Partial College,Skilled Manual,Yes
11098,MRS.,MALLORY,RUBIO,05/01/1961,S,Female,mallory7@phoenixanalytic.co.ke,60000,1,Partial College,Skilled Manual,No
11099,MR.,ADAM,ROSS,03/08/1961,M,Male,adam2@phoenixanalytic.co.ke,60000,1,Bachelors,Professional,Yes
11100,MRS.,LATASHA,NAVARRO,9/15/1960,S,Female,latasha10@phoenixanalytic.co.ke,60000,1,Partial College,Skilled Manual,Yes
11101,MS.,ABBY,SAI,05/08/1965,S,Female,abby4@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11102,MRS.,JULIA,NELSON,4/21/1965,S,Female,julia7@phoenixanalytic.co.ke,80000,5,Bachelors,Professional,Yes
11103,MS.,CASSIE,CHANDE,10/17/1964,S,Female,cassie13@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,Yes
11104,MR.,EDGAR,SARA,03/11/1964,M,Male,edgar11@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,S,Female,candace15@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11106,MR.,JESSIE,LIU,09/11/1964,S,Male,jessie9@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11107,MRS.,BIANCA,LIN,09/09/1959,M,Female,bianca7@phoenixanalytic.co.ke,90000,1,Bachelors,Professional,Yes
11108,MS.,KARI,ALVAREZ,7/14/1963,S,Female,kari25@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11109,MR.,RUBEN,KAPOOR,11/05/1963,S,Male,ruben1@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11110,MR.,CURTIS,YANG,06/06/1962,M,Male,curtis5@phoenixanalytic.co.ke,60000,1,Partial College,Skilled Manual,Yes
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,Female,meredith34@phoenixanalytic.co.ke,60000,1,Partial College,Skilled Manual,Yes
11112,MRS.,CRYSTAL,WANG,09/09/1962,M,Female,crystal3@phoenixanalytic.co.ke,60000,1,Partial College,Skilled Manual,Yes
11113,MR.,MICHEAL,BLANCO,2/21/1962,M,Male,micheal11@phoenixanalytic.co.ke,70000,5,Bachelors,Professional,Yes
11114,MRS.,LESLIE,MORENO,5/28/1962,S,Female,leslie7@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11115,MR.,ALVIN,CAI,02/12/1962,M,Male,alvin20@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11116,MR.,CLINTON,CARLSON,10/07/1962,M,Male,clinton14@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11117,MRS.,APRIL,DENG,2/21/1961,M,Female,april1@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11118,MR.,ALVIN,ZENG,07/03/1957,S,Male,alvin21@phoenixanalytic.co.ke,80000,1,Partial College,Skilled Manual,No
11119,MR.,EVAN,JAMES,04/10/1935,S,Male,evan8@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,No
11121,MR.,ORLANDO,SUAREZ,11/18/1960,M,Male,orlando19@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11122,MR.,BYRON,VAZQUEZ,04/02/1960,M,Male,byron9@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11123,MR.,PHILIP,ALVAREZ,6/20/1960,M,Male,philip4@phoenixanalytic.co.ke,70000,5,Partial College,Skilled Manual,Yes
11124,MR.,ROSS,JORDAN,7/27/1957,S,Male,ross1@phoenixanalytic.co.ke,80000,1,Partial College,Skilled Manual,Yes
11125,MRS.,DANA,NAVARRO,04/08/1956,S,Female,dana2@phoenixanalytic.co.ke,70000,1,Partial College,Skilled Manual,Yes
11126,MR.,SHAUN,CARSON,04/07/1949,M,Male,shaun16@phoenixanalytic.co.ke,10000,2,High School,Skilled Manual,No
11127,MS.,JAN,EDWARDS,10/21/1975,M,Female,jan11@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11128,MS.,SAMANTHA,LONG,12/05/1975,M,Female,samantha35@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11129,MS.,JULIA,WRIGHT,08/05/1975,S,Female,julia17@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11130,MS.,CAROLINE,RUSSELL,01/06/1980,M,Female,caroline21@phoenixanalytic.co.ke,30000,0,High School,Skilled Manual,Yes
11131,MS.,AMANDA,RIVERA,03/12/1980,M,Female,amanda7@phoenixanalytic.co.ke,30000,0,High School,Skilled Manual,No
11132,MS.,MELISSA,RICHARDSON,10/26/1980,S,Female,melissa31@phoenixanalytic.co.ke,30000,0,High School,Skilled Manual,No
11133,MS.,ANGELA,GRIFFIN,09/08/1980,S,Female,angela23@phoenixanalytic.co.ke,30000,0,Partial High School,Clerical,No
11134,MR.,LARRY,TOWNSEND,2/26/1946,S,Male,larry14@phoenixanalytic.co.ke,10000,5,High School,Skilled Manual,Yes
11135,MR.,MARCUS,HARRIS,11/03/1979,S,Male,marcus14@phoenixanalytic.co.ke,30000,0,Partial High School,Clerical,No
11136,MS.,BRIANNA,MORGAN,10/26/1978,S,Female,brianna30@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11137,MS.,JASMINE,TAYLOR,7/20/1978,M,Female,jasmine7@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11138,MS.,LAUREN,DAVIS,9/15/1978,M,Female,lauren23@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11139,MRS.,TANYA,MORENO,11/09/1938,S,Female,tanya2@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,No
11140,MR.,JAVIER,ALVAREZ,02/11/1977,S,Male,javier1@phoenixanalytic.co.ke,30000,0,Partial High School,Clerical,No
11141,MS.,NICOLE,RAMIREZ,6/21/1977,M,Female,nicole42@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11142,MR.,EDUARDO,PATTERSON,8/14/1977,S,Male,eduardo55@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11143,MR.,JONATHAN,HENDERSON,02/04/1977,M,Male,jonathan4@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11144,MR.,EDWARD,HERNANDEZ,09/09/1979,S,Male,edward48@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11145,MS.,JASMINE,COLEMAN,12/08/1979,S,Female,jasmine46@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11146,MRS.,KARLA,GOEL,8/26/1939,S,Female,karla20@phoenixanalytic.co.ke,40000,2,Bachelors,Management,Yes
11147,MR.,ERNEST,WU,02/05/1939,M,Male,ernest6@phoenixanalytic.co.ke,60000,2,Graduate Degree,Management,Yes
11148,MR.,ROSS,VAZQUEZ,8/16/1941,M,Male,ross32@phoenixanalytic.co.ke,40000,2,Bachelors,Management,Yes
11149,MR.,THEODORE,GILL,4/20/1941,M,Male,theodore14@phoenixanalytic.co.ke,40000,2,Bachelors,Management,Yes
11150,MR.,RUSSELL,SHEN,3/15/1941,S,Male,russell6@phoenixanalytic.co.ke,40000,2,Bachelors,Management,Yes
11151,MRS.,MELINDA,GILL,2/25/1942,S,Female,melinda9@phoenixanalytic.co.ke,60000,2,Graduate Degree,Management,No
11152,MR.,JAMES,WILLIAMS,01/10/1976,S,Male,james77@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11153,MS.,ANGELA,JAMES,6/23/1976,M,Female,angela34@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11154,MS.,MEGAN,WALKER,8/21/1976,S,Female,megan25@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,Yes
11155,MR.,HUNTER,ROBINSON,1/26/1976,S,Male,hunter50@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,No
11156,MS.,MARIA,ROBERTS,02/07/1976,S,Female,maria47@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,No
11157,MS.,HANNAH,LONG,06/11/1975,M,Female,hannah32@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11158,MR.,JASON,WRIGHT,10/08/1975,S,Male,jason46@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,Yes
11159,MS.,BRIANNA,HUGHES,9/17/1975,S,Female,brianna57@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11160,MR.,MAURICE,TANG,01/08/1974,S,Male,maurice4@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,No
11161,MS.,EMILY,WOOD,4/22/1974,S,Female,emily27@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,No
11162,MR.,CHASE,COX,03/05/1974,S,Male,chase10@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,Yes
11163,MR.,GABRIEL,WANG,12/20/1974,M,Male,gabriel21@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,Yes
11164,MR.,DEVIN,BROOKS,05/05/1974,S,Male,devin63@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,No
11165,MS.,JOCELYN,ALEXANDER,7/18/1973,M,Female,jocelyn18@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,No
11166,MS.,ASHLEY,MARTINEZ,4/24/1972,S,Female,ashley18@phoenixanalytic.co.ke,70000,0,Partial College,Skilled Manual,No
11167,MS.,JASMINE,BARNES,08/01/1972,S,Female,jasmine43@phoenixanalytic.co.ke,80000,0,Bachelors,Management,No
11168,MR.,DAVID,RODRIGUEZ,5/15/1968,S,Male,david83@phoenixanalytic.co.ke,80000,0,Bachelors,Management,No
11169,MR.,BRYCE,RICHARDSON,6/22/1968,M,Male,bryce8@phoenixanalytic.co.ke,90000,4,Bachelors,Management,Yes
11170,MRS.,CAROL,HOWARD,02/05/1968,M,Female,carol5@phoenixanalytic.co.ke,90000,4,Bachelors,Management,Yes
11171,MR.,JONATHAN,HILL,10/09/1967,S,Male,jonathan43@phoenixanalytic.co.ke,100000,1,Bachelors,Management,Yes
11172,MRS.,GABRIELLE,ADAMS,11/21/1967,M,Female,gabrielle58@phoenixanalytic.co.ke,100000,1,Bachelors,Management,Yes
11173,MS.,SARAH,THOMAS,09/01/1967,S,Female,sarah13@phoenixanalytic.co.ke,110000,0,Graduate Degree,Management,No
11174,MR.,NICHOLAS,ROBINSON,7/13/1967,M,Male,nicholas19@phoenixanalytic.co.ke,110000,0,Graduate Degree,Management,Yes
11175,MR.,LUIS,WANG,03/05/1963,S,Male,luis24@phoenixanalytic.co.ke,70000,0,Partial College,Skilled Manual,Yes
11176,MR.,MASON,ROBERTS,1/25/1968,M,Male,mason25@phoenixanalytic.co.ke,90000,4,Bachelors,Management,Yes
11177,MR.,JOSE,FLORES,07/04/1942,M,Male,jose6@phoenixanalytic.co.ke,110000,2,Graduate Degree,Management,Yes
11178,MR.,NATHAN,JOHNSON,8/24/1943,M,Male,nathan55@phoenixanalytic.co.ke,100000,2,Graduate Degree,Management,Yes
11179,MRS.,MOLLY,RODRIGUEZ,6/14/1943,M,Female,molly18@phoenixanalytic.co.ke,120000,2,Graduate Degree,Management,Yes
11180,MRS.,APRIL,ANAND,01/02/1943,M,Female,april18@phoenixanalytic.co.ke,160000,1,Bachelors,Management,Yes
11181,MR.,DEVIN,MARTIN,08/08/1943,M,Male,devin13@phoenixanalytic.co.ke,170000,2,Graduate Degree,Management,Yes
11182,MRS.,STEPHANIE,TORRES,8/25/1944,S,Female,stephanie19@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11183,MRS.,JASMINE,LEE,7/15/1944,S,Female,jasmine19@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11184,MRS.,MEGHAN,HERNANDEZ,11/16/1944,S,Female,meghan3@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11185,MRS.,ASHLEY,HENDERSON,10/08/1944,S,Female,ashley31@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11186,MRS.,SARAH,PRICE,5/21/1944,S,Female,sarah25@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11187,MRS.,JENNIFER,COOPER,2/22/1944,M,Female,jennifer63@phoenixanalytic.co.ke,60000,4,Graduate Degree,Management,Yes
11188,MRS.,CATHERINE,MORRIS,09/06/1944,M,Female,catherine16@phoenixanalytic.co.ke,60000,4,Graduate Degree,Management,No
11190,MR.,CARSON,BRYANT,6/22/1944,M,Male,carson17@phoenixanalytic.co.ke,70000,5,Bachelors,Management,Yes
11191,MRS.,KRISTI,PEREZ,12/18/1945,S,Female,kristi39@phoenixanalytic.co.ke,70000,5,Bachelors,Management,Yes
11192,MR.,JAMES,BROWN,9/13/1945,M,Male,james79@phoenixanalytic.co.ke,60000,4,Bachelors,Management,Yes
11193,MR.,IAN,GRAY,2/13/1945,M,Male,ian72@phoenixanalytic.co.ke,60000,4,Bachelors,Management,Yes
11194,MRS.,JACQUELINE,PRICE,06/10/1945,M,Female,jacqueline0@phoenixanalytic.co.ke,60000,4,Bachelors,Management,Yes
11195,MRS.,MEGAN,HENDERSON,02/10/1946,M,Female,megan55@phoenixanalytic.co.ke,60000,5,Bachelors,Management,Yes
11196,MR.,ALFREDO,ROMERO,06/07/1946,M,Male,alfredo10@phoenixanalytic.co.ke,60000,5,Bachelors,Management,Yes
11197,MRS.,ANDREA,MORRIS,6/18/1946,M,Female,andrea18@phoenixanalytic.co.ke,70000,3,Bachelors,Management,No
11198,MRS.,BROOKE,SANDERS,11/26/1946,S,Female,brooke3@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11199,MRS.,JACQUELINE,BENNETT,11/06/1946,M,Female,jacqueline1@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11200,MR.,JASON,GRIFFIN,11/22/1947,M,Male,jason18@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11201,MRS.,AMANDA,FOSTER,8/18/1947,M,Female,amanda37@phoenixanalytic.co.ke,70000,4,Bachelors,Management,Yes
11202,MRS.,ALEXIA,PRICE,8/26/1947,M,Female,alexia0@phoenixanalytic.co.ke,80000,5,Bachelors,Management,No
11203,MR.,LUIS,DIAZ,8/21/1948,M,Male,luis21@phoenixanalytic.co.ke,40000,2,High School,Professional,Yes
11205,MRS.,ABBY,FERNANDEZ,7/24/1948,M,Female,abby13@phoenixanalytic.co.ke,40000,2,High School,Professional,Yes
